,Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date,matchtype,year,not_out
243,62,170,94,8,2,65.95,7,lbw,2, New Zealand,Bengaluru,2012-08-31,Test,2012,0
244,48,94,60,3,2,80.0,7,not out,4, New Zealand,Bengaluru,2012-08-31,Test,2012,1
245,73,210,147,6,1,49.65,7,caught,1, New Zealand,Hyderabad (Deccan),2012-08-23,Test,2012,0
246,16,13,14,2,0,114.28,5,not out,1, Sri Lanka,Pallekele,2012-08-07,T20I,2012,1
247,58,57,38,8,1,152.63,7,caught,1,Sri Lanka,Pallekele,2012-08-04,ODI ,2012,0
249,31,60,49,1,0,63.26,4,bowled,2,Sri Lanka,Colombo (RPS),2012-07-28,ODI ,2012,0
250,11,26,16,2,0,68.75,6,caught,1,Sri Lanka,Hambantota,2012-07-24,ODI ,2012,0
251,35,49,29,3,1,120.68,6,caught,1,Sri Lanka,Hambantota,2012-07-21,ODI ,2012,0
253,4,4,1,1,0,400.0,6,not out,2,Pakistan,Mirpur,2012-03-18,ODI ,2012,1
254,21,20,11,2,0,190.9,5,not out,1,Bangladesh,Mirpur,2012-03-16,ODI ,2012,1
255,46,38,26,6,1,176.92,4,not out,1,Sri Lanka,Mirpur,2012-03-13,ODI ,2012,1
257,14,68,49,0,0,28.57,6,lbw,2,Australia,Sydney,2012-02-26,ODI ,2012,0
258,56,115,84,2,1,66.66,6,caught,2,Australia,Brisbane,2012-02-19,ODI ,2012,0
259,58,113,69,3,1,84.05,6,not out,2,Sri Lanka,Adelaide,2012-02-14,ODI ,2012,1
260,44,76,58,0,1,75.86,6,not out,2,Australia,Adelaide,2012-02-12,ODI ,2012,1
261,4,6,5,1,0,80.0,6,caught,2,Sri Lanka,Perth,2012-02-08,ODI ,2012,0
262,29,61,38,1,0,76.31,6,caught,2,Australia,Melbourne,2012-02-05,ODI ,2012,0
263,21,26,18,2,0,116.66,4,not out,2, Australia,Melbourne,2012-02-03,T20I,2012,1
264,48,55,43,1,3,111.62,6,not out,2, Australia,Sydney,2012-02-01,T20I,2012,1
265,12,30,22,2,0,54.54,7,caught,1, Australia,Perth,2012-01-13,Test,2012,0
266,2,20,16,0,0,12.5,7,caught,3, Australia,Perth,2012-01-13,Test,2012,0
267,57,101,77,8,0,74.02,7,not out,1, Australia,Sydney,2012-01-03,Test,2012,1
268,2,11,11,0,0,18.18,7,caught,3, Australia,Sydney,2012-01-03,Test,2012,0
269,6,13,8,0,0,75.0,8,caught,2, Australia,Melbourne,2011-12-26,Test,2011,0
270,23,88,44,0,1,52.27,7,bowled,4, Australia,Melbourne,2011-12-26,Test,2011,0
271,8,30,21,1,0,38.09,7,bowled,2, West Indies,Wankhede,2011-11-22,Test,2011,0
272,13,45,37,1,0,35.13,7,caught,4, West Indies,Wankhede,2011-11-22,Test,2011,0
273,144,181,175,10,5,82.28,8,caught,1, West Indies,Kolkata,2011-11-14,Test,2011,0
274,0,3,4,0,0,0.0,7,bowled,2, West Indies,Delhi,2011-11-06,Test,2011,0
275,0,5,4,0,0,0.0,7,not out,4, West Indies,Delhi,2011-11-06,Test,2011,1
276,21,44,26,0,1,80.76,6,run out,1, England,Kolkata,2011-10-29,T20I,2011,0
277,75,103,69,3,4,108.69,6,not out,1,England,Kolkata,2011-10-25,ODI ,2011,1
278,15,0,18,1,1,83.33,6,not out,2,England,Wankhede,2011-10-23,ODI ,2011,1
279,35,53,31,3,0,112.9,6,not out,2,England,Mohali,2011-10-20,ODI ,2011,1
281,87,104,70,10,1,124.28,6,not out,1,England,Hyderabad (Deccan),2011-10-14,ODI ,2011,1
282,50,35,26,5,2,192.3,6,not out,1,England,Cardiff,2011-09-16,ODI ,2011,1
283,78,110,71,6,3,109.85,6,not out,1,England,Lord's,2011-09-11,ODI ,2011,1
284,69,142,103,5,0,66.99,6,caught,1,England,The Oval,2011-09-09,ODI ,2011,0
285,6,9,5,1,0,120.0,6,caught,1,England,Southampton,2011-09-06,ODI ,2011,0
286,33,41,36,2,0,91.66,7,caught,1,England,Chester-le-Street,2011-09-03,ODI ,2011,0
287,8,15,8,1,0,100.0,7,caught,1, England,Manchester,2011-08-31,T20I,2011,0
288,17,52,50,2,0,34.0,7,caught,2, England,The Oval,2011-08-18,Test,2011,0
289,3,34,19,0,0,15.78,7,caught,3, England,The Oval,2011-08-18,Test,2011,0
290,77,119,96,10,3,80.2,7,caught,1, England,Birmingham,2011-08-10,Test,2011,0
291,74,121,79,13,0,93.67,7,not out,3, England,Birmingham,2011-08-10,Test,2011,1
292,5,8,9,1,0,55.55,7,caught,2, England,Nottingham,2011-07-29,Test,2011,0
293,0,1,1,0,0,0.0,7,lbw,4, England,Nottingham,2011-07-29,Test,2011,0
294,28,102,103,2,0,27.18,7,caught,2, England,Lord's,2011-07-21,Test,2011,0
295,16,77,49,2,0,32.65,7,caught,4, England,Lord's,2011-07-21,Test,2011,0
296,74,208,133,4,0,55.63,7,caught,2, West Indies,Roseau,2011-07-06,Test,2011,0
298,2,17,13,0,0,15.38,7,caught,1, West Indies,Bridgetown,2011-06-28,Test,2011,0
299,5,14,14,0,0,35.71,7,caught,3, West Indies,Bridgetown,2011-06-28,Test,2011,0
300,0,9,2,0,0,0.0,7,caught,1, West Indies,Kingston,2011-06-20,Test,2011,0
301,16,15,16,1,1,100.0,7,caught,3, West Indies,Kingston,2011-06-20,Test,2011,0
302,91,128,79,8,2,115.18,5,not out,2,Sri Lanka,Wankhede,2011-04-02,ODI ,2011,1
303,25,64,42,2,0,59.52,6,lbw,1,Pakistan,Mohali,2011-03-30,ODI ,2011,0
304,7,19,8,1,0,87.5,6,caught,2,Australia,Ahmedabad,2011-03-24,ODI ,2011,0
305,22,41,30,1,0,73.33,5,stumped,1,West Indies,Chennai,2011-03-20,ODI ,2011,0
306,12,37,21,0,0,57.14,6,not out,1,South Africa,Nagpur,2011-03-12,ODI ,2011,1
307,19,56,40,2,0,47.5,7,not out,2,Netherlands,Delhi,2011-03-09,ODI ,2011,1
308,34,68,50,2,0,68.0,6,lbw,2,Ireland,Bengaluru,2011-03-06,ODI ,2011,0
309,31,38,25,3,1,124.0,5,caught,1,England,Bengaluru,2011-02-27,ODI ,2011,0
311,5,11,10,1,0,50.0,4,caught,2,South Africa,Centurion,2011-01-23,ODI ,2011,0
312,2,9,8,0,0,25.0,6,caught,2,South Africa,Gqeberha,2011-01-21,ODI ,2011,0
313,5,15,12,1,0,41.66,5,caught,2,South Africa,Cape Town,2011-01-18,ODI ,2011,0
314,38,101,61,1,0,62.29,5,bowled,1,South Africa,Johannesburg,2011-01-15,ODI ,2011,0
315,25,48,35,1,0,71.42,6,run out,2,South Africa,Durban,2011-01-12,ODI ,2011,0
316,10,19,11,0,0,90.9,7,not out,1, South Africa,Durban,2011-01-09,T20I,2011,1
317,0,9,3,0,0,0.0,7,caught,2, South Africa,Cape Town,2011-01-02,Test,2011,0
319,35,108,57,3,1,61.4,7,caught,1, South Africa,Durban,2010-12-26,Test,2010,0
320,21,52,35,4,0,60.0,7,caught,3, South Africa,Durban,2010-12-26,Test,2010,0
321,33,87,50,2,2,66.0,7,lbw,1, South Africa,Centurion,2010-12-16,Test,2010,0
322,90,178,106,14,0,84.9,8,caught,3, South Africa,Centurion,2010-12-16,Test,2010,0
323,98,220,156,12,1,62.82,7,caught,2, New Zealand,Nagpur,2010-11-20,Test,2010,0
324,14,25,21,1,0,66.66,7,caught,2, New Zealand,Hyderabad (Deccan),2010-11-12,Test,2010,0
